band	start	end	name
chr1	11868	14409	DNAJC11
chr1	14403	29570	CDK11A
chr1	17368	17436	NADK
chr1	29553	31097	MASP2
chr1	30365	30503	CLCN6
chr1	34553	36081	TNFRSF1B
chr1	52472	53312	THAP3
chr1	57597	64116	VPS13D
chr1	65418	71585	H6PD
chr1	89294	120932	VAMP3
chr1	89550	91105	PER3
chr1	131024	134836	UTS2
chr1	135140	135895	TNFRSF9
chr1	137681	137965	KIF1B
chr1	139789	140339	PRKCZ
chr1	141473	149707	KCNAB2
chr1	157783	157887	HES2
chr1	160445	161525	ENO1
chr1	182695	184174	GNB1
chr1	185216	195411	SDF4
chr1	187890	187958	TP73
chr1	257863	264733	PLOD1
chr1	347981	348366	ACOT7
chr1	358856	365704	DVL1
chr1	365388	366151	MORN1
chr1	439869	440232	CEP104
chr1	450702	451697	WRAP73
chr1	487100	489906	ICMT
chr1	491224	493241	RPL22
chr1	516375	516479	CHD5
chr1	586070	612813	PHF13
chr1	587628	594768	ERRFI1
chr1	629061	629433	PARK7
chr1	629639	630683	SRM
chr1	631073	632616	FBXO2
chr1	632324	632413	FBXO6
chr1	632756	633438	MAD2L2
chr1	633534	633741	KIAA2013
chr1	633695	634376	MFN2
chr1	634375	634922	MIIP
chr1	674841	675265	PRAMEF1
chr1	685678	686673	PRAMEF12
chr1	722091	724903	PRDM2
chr1	725884	778626	NPPB
chr1	758232	758336	UBIAD1
chr1	760910	761989	TARDBP
chr1	778769	784690	TNFRSF8
chr1	781936	782050	PRAMEF2
chr1	800878	817712	INTS11
chr1	817370	819837	ARHGEF16
chr1	825137	849592	LRRC47
chr1	826205	827522	UBE4B
chr1	868070	876903	CASZ1
chr1	873291	874349	ACAP3
chr1	874528	877234	C1orf159
chr1	904833	915976	CA6
chr1	911434	914948	NPHP4
chr1	914170	914971	FBXO44
chr1	916864	921016	SLC2A5
chr1	923927	939291	RERE
chr1	944203	947060	MMEL1
chr1	960586	965715	CFAP74
chr1	966496	975108	PRDM16
chr1	975203	982093	CELA2A
chr1	995965	998051	FHAD1
chr1	998961	1000172	EFHD2
chr1	1001137	1014540	PEX14
chr1	1008075	1008229	PGD
chr1	1011996	1013193	PLCH2
chr1	1020122	1056116	C1orf158
chr1	1055032	1056116	PRXL2B
chr1	1059733	1066456	TNFRSF14
chr1	1062207	1063288	PANK4
chr1	1070965	1074307	PEX10
chr1	1081817	1116081	RER1
chr1	1097584	1104598	SKI
chr1	1137016	1144056	TPRG1L
chr1	1167103	1167198	RNF207
chr1	1167862	1167952	GPR153
chr1	1169004	1169087	DFFA
chr1	1169356	1170343	ATAD3B
chr1	1173055	1179555	SSU72
chr1	1173883	1175034	UBE2J2
chr1	1203507	1206571	NOL9
chr1	1211325	1214132	KLHL21
chr1	1216907	1232001	SLC45A1
chr1	1232225	1235041	CTRC
chr1	1242445	1243463	LZIC
chr1	1249776	1251334	RBP7
chr1	1253908	1273853	DRAXIN
chr1	1275222	1280420	PDPN
chr1	1280435	1292019	LRRC38
chr1	1292375	1308018	DHRS3
chr1	1296109	1296170	TTLL10
chr1	1308566	1311677	SCNN1D
chr1	1311584	1315433	MXRA8
chr1	1312501	1312566	FAAP20
chr1	1317580	1318689	MEGF6
chr1	1324755	1327994	CCDC27
chr1	1331313	1335306	DFFB
chr1	1335275	1349112	ACTRT2
chr1	1339649	1339708	CALML6
chr1	1352688	1354264	TAS1R3
chr1	1373729	1375157	PUSL1
chr1	1378665	1379032	CLSTN1
chr1	1385710	1391096	PIK3CD
chr1	1399521	1401087	SLC25A33
chr1	1401907	1407313	SPSB1
chr1	1405459	1405752	PLEKHG5
chr1	1409095	1410618	TMEM51
chr1	1418419	1421444	CAMTA1
chr1	1420244	1422691	ANGPTL7
